HOUSEID,VEHID,DRVRCNT,HHFAMINC,HHSIZE,HHVEHCNT,NUMADLT,HYBRID,URBAN,URBANSIZE,URBRUR,VEHCOMM,VEHOWNMO,VEHYEAR,WRKCOUNT,VEHAGE,HOMEOWN,HOMETYPE,LIF_CYC,ANNMILES,FUELTYPE,GSYRGAL,GSTOTCST,VEHTYPE
21153282,1,2,18,2,2,2,2,1,5,1,2,6,2008,2,1,1,1,10,5156,4,202,596,1
21164194,1,2,17,2,2,2,2,1,3,1,2,15,2008,2,1,1,1,02,13500,4,948,2985,4
21196207,1,1,6,1,1,1,1,1,1,1,1,72,2002,1,7,1,1,01,5000,4,178,544,2
21219076,1,2,14,2,5,2,2,1,5,1,2,48,2004,0,5,1,1,10,7000,4,290,957,3
21228407,1,2,18,2,2,2,2,2,6,1,2,48,2004,2,5,1,1,02,8000,4,490,1621,1
21237641,1,2,6,2,2,2,2,1,4,1,2,25,2005,0,4,1,1,10,28000,4,814,2566,1
21248348,1,2,8,2,3,2,2,4,6,2,2,84,2002,2,7,1,1,02,25000,4,1291,3794,3
21279409,2,4,18,4,5,4,2,1,1,1,2,10,2002,3,7,1,1,08,4800,4,118,393,4
21283282,1,2,6,3,2,2,2,1,4,1,2,24,2004,1,5,1,1,04,12000,4,541,1568,3
21307807,1,2,17,4,2,2,2,1,1,1,2,4,2009,2,1,1,1,04,15000,4,749,2269,3
21357576,2,2,14,2,2,2,2,4,6,2,2,19,2007,2,2,1,2,02,12000,4,190,557,3
21358779,2,3,18,4,3,3,2,1,4,1,2,60,2004,1,5,1,1,06,6000,4,469,1551,1
21374845,1,2,18,4,2,2,1,4,6,2,2,12,2007,1,2,1,1,06,15062,4,495,1517,3
21417751,2,2,17,2,2,2,2,1,4,1,2,60,2002,2,7,1,1,02,25000,4,1118,3388,4
21450927,1,2,17,2,3,2,2,4,6,2,2,36,2006,1,3,1,1,10,12000,4,741,2371,3
21452284,1,2,18,2,3,2,2,4,6,2,2,2,2008,1,1,1,1,02,5400,4,270,810,3
21455614,1,2,17,2,2,2,2,4,6,2,2,36,2004,1,5,1,1,10,18000,4,740,2367,3
21513215,1,2,18,2,3,2,2,4,6,2,2,48,2005,2,4,1,1,02,5000,4,283,856,3
21528714,2,3,5,3,2,2,2,4,6,2,2,60,2002,2,7,1,1,08,12000,4,731,2339,4
21546325,1,2,6,2,1,2,2,1,1,1,2,36,2005,0,4,1,1,10,2000,4,888,2721,2
21571587,1,2,5,2,2,2,2,1,2,1,2,5,2002,1,7,1,1,10,1200,1,545,1874,4
21605651,1,2,18,2,2,2,2,1,2,1,2,18,2007,2,2,1,1,02,11000,4,676,1962,3
21622984,1,2,17,2,4,2,2,4,6,2,2,6,2008,2,1,1,1,02,21600,4,543,1644,1
21634857,1,2,7,5,1,2,2,2,6,1,2,24,2002,1,7,2,2,04,5500,4,560,1647,2
21644641,1,2,6,3,2,3,2,1,1,1,2,7,2009,1,1,1,1,10,4282.285714,4,411,1208,1
21682951,2,3,6,3,3,3,2,1,1,1,2,24,2005,1,4,1,1,02,5000,4,287,880,1
21691467,1,3,14,3,4,3,2,1,1,1,2,24,2007,3,2,1,1,08,15000,4,332,1004,1
21695184,1,1,7,2,1,2,2,1,1,1,2,72,2002,0,7,1,1,10,8000,4,250,827,1
21697777,2,2,18,4,2,2,2,1,1,1,2,12,2003,2,6,2,1,04,15000,4,929,2928,1
21701263,2,2,16,2,4,2,2,1,4,1,2,60,2003,2,6,1,1,02,3000,4,317,920,4
21715215,2,2,18,3,2,2,2,4,6,2,2,60,2002,1,7,1,1,04,13000,4,622,1805,1
21728215,3,2,17,2,5,2,2,1,4,1,2,48,2004,2,5,1,1,02,12000,4,395,1243,4
21740383,2,2,17,2,2,2,2,1,2,1,2,48,2003,2,6,1,1,02,7500,4,664,2010,1
21774735,2,2,12,3,3,2,2,1,1,1,2,24,2005,1,4,1,1,06,1500,4,390,1179,1
21779936,1,3,12,3,5,3,2,1,5,1,2,2,2007,1,2,1,1,08,6000,4,366,1170,1
21855250,1,1,13,1,1,1,2,1,5,1,2,48,2004,1,5,2,3,01,2500,4,146,482,1
21855876,2,2,11,2,3,2,2,4,6,2,2,48,2005,2,4,1,1,02,21000,4,1057,3228,3
21899825,2,2,18,2,2,2,2,1,4,1,2,60,2002,0,7,1,1,10,10000,4,475,1439,1
21901483,3,4,18,4,3,2,2,1,3,1,2,72,2002,2,7,1,1,06,15000,4,1052,3314,3
21907832,2,2,6,2,2,2,2,1,4,1,2,36,2004,0,5,1,1,10,7000,4,163,537,2
21945384,1,2,18,2,2,2,2,4,6,2,2,48,2004,2,5,1,1,02,8000,4,594,1724,4
21953606,1,1,14,2,1,1,2,1,1,1,2,36,2005,1,4,1,1,03,9000,4,984,3101,3
21966709,1,2,18,2,2,2,2,4,6,2,1,9,2007,2,2,1,1,02,11600,4,615,1884,4
21976285,1,2,7,2,3,2,2,4,6,2,2,24,2004,0,5,1,4,10,12000,4,697,2066,3
22010355,1,2,17,4,3,2,2,4,6,2,2,24,2008,1,1,1,1,06,10000,4,617,1972,2
22024213,1,1,4,1,2,1,2,1,2,1,2,36,2005,0,4,1,3,09,10000,4,305,974,1
22026048,2,2,5,2,2,2,2,2,6,1,2,48,2005,1,4,1,1,10,2000,4,159,471,1
22051040,1,2,18,2,2,2,2,4,6,2,2,60,2003,0,6,1,1,10,7500,4,160,485,1
22072326,2,2,18,2,2,2,2,4,6,2,2,36,2006,2,3,1,1,02,30000,4,1388,4176,3
22100890,2,2,16,2,2,2,2,1,5,1,2,60,2004,0,5,1,1,10,9000,4,262,793,4
22159348,3,2,18,4,3,2,2,4,6,2,2,48,2005,1,4,1,1,04,18000,4,928,2812,3
22202178,1,3,4,3,4,3,2,2,6,1,2,60,2005,3,4,1,1,02,7500,4,410,1241,4
22208107,2,2,17,2,2,2,2,1,1,1,2,72,2003,1,6,1,1,10,5000,4,297,898,1
22228105,1,2,3,2,1,2,2,1,4,1,2,84,2003,0,6,1,1,10,1200,4,117,337,4
22228600,1,2,13,2,2,2,2,1,5,1,2,12,2006,1,3,1,1,10,20000,4,617,1890,1
22244244,1,2,18,2,2,2,2,1,1,1,2,8,2008,2,1,1,2,02,19500,4,652,2086,3
22247562,2,2,17,3,2,2,2,4,6,2,2,60,2003,2,6,1,1,04,8000,1,1667,5857,3
22261465,2,2,17,2,3,2,2,4,6,2,2,36,2006,1,3,1,1,02,40000,4,1157,3361,1
22262127,2,2,14,2,2,2,2,1,4,1,2,36,2003,2,6,1,3,02,5000,4,495,1457,2
22299767,3,2,17,2,5,2,2,4,6,2,1,60,2003,2,6,1,1,02,50000,1,5882,21478,5
22304250,4,3,18,3,5,3,2,4,6,2,2,36,2002,3,7,1,4,08,10000,4,447,1295,4
22336756,1,1,7,1,1,1,2,1,3,1,2,12,2008,1,1,1,2,01,5511,4,347,1028,1
22346634,2,1,8,2,2,2,2,1,4,1,2,84,2002,0,7,1,1,10,4000,4,466,1352,4
22347604,1,2,10,2,1,2,2,1,3,1,2,30,2005,0,4,1,3,10,12000,4,1008,3226,3
22349587,2,3,17,3,3,3,2,2,6,1,2,60,2004,2,5,1,1,08,8000,4,158,476,3
22350855,1,2,15,4,3,2,2,4,6,2,2,12,2005,1,4,1,1,06,3600,4,787,2285,2
22377526,2,4,2,4,4,4,2,4,6,2,2,60,2002,2,7,1,1,08,8000,4,590,1857,1
22386005,2,2,6,2,2,2,2,1,1,1,1,48,2003,0,6,1,1,10,1500,4,447,1297,4
22388849,1,2,18,2,2,2,1,1,5,1,2,6,2008,2,1,1,1,02,4600,4,77,234,1
22395641,1,2,12,2,2,2,2,1,1,1,2,3,2006,1,3,1,3,10,6000,4,159,479,1
22410629,1,2,6,2,2,2,2,4,6,2,2,24,2006,0,3,1,1,10,6000,4,436,1264,4
22457745,2,2,16,2,2,2,2,4,6,2,2,0.5,2005,1,4,1,1,10,28800,4,1049,3157,3
22461201,1,4,18,6,4,4,2,1,1,1,2,48,2004,2,5,1,1,06,12000,4,1246,3775,3
22491217,1,1,6,1,1,1,2,1,4,1,2,60,2005,0,4,1,1,09,1000,4,29,87,1
